날짜,서울 3층,최고기온(℃)
2026-05-01,24.17,24.3
2026-05-02,24.11,22.4
2026-05-03,23.11,15.5
2026-05-04,23.55,19.9
2026-05-05,23.72,21.2
2026-05-06,24.64,23.8
2026-05-07,23.45,20.3
2026-05-08,23.61,20.4
2026-05-09,23.61,22.7
2026-05-10,24.44,24.5
2026-05-11,23.89,20.9
2026-05-12,23.96,24.5
2026-05-13,24.95,26.2
2026-05-14,25.9,31.5
2026-05-15,24.94,31.3
2026-05-16,25.35,29.9
2026-05-17,25.08,29.4
2026-05-18,24.86,30.1
2026-05-19,24.66,25.5
2026-05-20,23.92,21.8
2026-05-21,23.27,20.2
2026-05-22,24.37,27.0
2026-05-23,24.71,24.7
2026-05-24,24.77,29.2
2026-05-25,24.71,29.8
2026-05-26,25.38,29.0
2026-05-27,24.81,25.1
2026-05-28,25.05,26.5
2026-05-29,24.65,26.9
2026-05-30,25.08,29.0
2026-05-31,24.88,30.9
