날짜,부천,최고기온(℃)
2026-05-01,23.61,24.3
2026-05-02,22.85,22.4
2026-05-03,21.99,15.5
2026-05-04,22.44,19.9
2026-05-05,22.73,21.2
2026-05-06,23.15,23.8
2026-05-07,22.46,20.3
2026-05-08,22.61,20.4
2026-05-09,23.23,22.7
2026-05-10,23.57,24.5
2026-05-11,23.29,20.9
2026-05-12,24.04,24.5
2026-05-13,24.03,26.2
2026-05-14,24.7,31.5
2026-05-15,24.31,31.3
2026-05-16,24.53,29.9
2026-05-17,24.65,29.4
2026-05-18,24.53,30.1
2026-05-19,23.55,25.5
2026-05-20,23.59,21.8
2026-05-21,22.45,20.2
2026-05-22,24.18,27.0
2026-05-23,24.0,24.7
2026-05-24,24.46,29.2
2026-05-25,24.03,29.8
2026-05-26,24.71,29.0
2026-05-27,23.49,25.1
2026-05-28,23.93,26.5
2026-05-29,23.73,26.9
2026-05-30,24.16,29.0
2026-05-31,24.91,30.9
