날짜,광주,최고기온(℃)
2026-05-01,24.6,24.3
2026-05-02,23.96,22.4
2026-05-03,22.86,15.5
2026-05-04,23.26,19.9
2026-05-05,23.74,21.2
2026-05-06,24.49,23.8
2026-05-07,23.97,20.3
2026-05-08,24.03,20.4
2026-05-09,23.82,22.7
2026-05-10,24.39,24.5
2026-05-11,23.45,20.9
2026-05-12,24.12,24.5
2026-05-13,24.32,26.2
2026-05-14,25.58,31.5
2026-05-15,24.75,31.3
2026-05-16,24.75,29.9
2026-05-17,25.18,29.4
2026-05-18,25.15,30.1
2026-05-19,24.73,25.5
2026-05-20,23.57,21.8
2026-05-21,23.41,20.2
2026-05-22,25.05,27.0
2026-05-23,23.83,24.7
2026-05-24,25.33,29.2
2026-05-25,24.81,29.8
2026-05-26,24.99,29.0
2026-05-27,24.35,25.1
2026-05-28,24.85,26.5
2026-05-29,24.85,26.9
2026-05-30,24.41,29.0
2026-05-31,25.58,30.9
