날짜,1층,2층,3층,6층,7층,별관
2026-05-01,0,0,0,0,0,0
2026-05-02,0,0,0,0,0,0
2026-05-03,0,0,0,0,0,0
2026-05-04,1.23,3.02,3.59,2.03,2.49,0.16
2026-05-05,0,0,0,0,0,0
2026-05-06,0.82,2.48,2.9,2.23,1.95,0.06
2026-05-07,0.85,2.53,2.62,2.79,2.54,0.21
2026-05-08,0.86,2.69,2.71,2.69,2.3,0.01
2026-05-09,0,0,0,0,0,0
2026-05-10,0,0,0,0,0,0
2026-05-11,1.03,3.09,3.57,2.04,1.91,0
2026-05-12,0.83,2.36,2.61,2.5,2.15,0.34
2026-05-13,0.8,2.88,3.51,2.23,2.3,0.3
2026-05-14,1.36,2.8,2.75,2.43,2.72,0.19
2026-05-15,1.29,2.71,3.4,2.15,2.2,0.2
2026-05-16,0,0,0,0,0,0
2026-05-17,0,0,0,0,0,0
2026-05-18,1.1,3.02,2.94,2.22,2.22,0.34
2026-05-19,1.84,3.38,3.07,3.24,3.02,0.63
2026-05-20,1.12,2.77,3.64,2.62,2.98,0.52
2026-05-21,1.52,3.5,3.11,3.23,2.88,0.37
2026-05-22,1.16,3.04,3.42,2.52,2.47,0.05
2026-05-23,0,0,0,0,0,0
2026-05-24,0,0,0,0,0,0
2026-05-25,0,0,0,0,0,0
2026-05-26,2.06,3.7,4.24,3.09,2.58,0
2026-05-27,2.12,3.84,4.1,2.79,2.71,0.07
2026-05-28,1.57,3.22,4.32,3.13,2.57,0.62
2026-05-29,2.1,3.96,4.48,2.93,2.59,0.04
2026-05-30,0,0,0,0,0,0
2026-05-31,0,0,0,0,0,0
