일자,강원_평균가동시간,부천_평균가동시간,인천_평균가동시간
"	2026-04-01",0,0,2.81
"	2026-04-02",0,0,2.17
"	2026-04-03",0,0,2
"	2026-04-04",0,0,0
"	2026-04-05",0,0.04,0
"	2026-04-06",0.1,0,3.22
"	2026-04-07",0.08,0,2.06
"	2026-04-08",0,0,0
"	2026-04-09",0,0,3.25
"	2026-04-10",0.02,0,1.39
"	2026-04-11",0,0,0
"	2026-04-12",0,0,0
"	2026-04-13",0,0,2.53
"	2026-04-14",0.02,0,0.44
"	2026-04-15",0.21,0.17,0
"	2026-04-16",0,1.17,1.72
"	2026-04-17",0,5.58,1.11
"	2026-04-18",0,0,0
"	2026-04-19",0.02,0,0
"	2026-04-20",0,5.54,1.81
"	2026-04-21",0.02,0.96,1.17
"	2026-04-22",0,1.42,2.83
"	2026-04-23",0,5.12,0
"	2026-04-24",0.02,4.62,0
"	2026-04-25",0,0,0
"	2026-04-26",0,0,0
"	2026-04-27",0.17,4.92,0.25
"	2026-04-28",0.02,5.75,0
"	2026-04-29",0.15,5.46,0
"	2026-04-30",0.04,4.75,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
"	",,,
