일자,대전_평균가동시간,안동_평균가동시간,예산_평균가동시간,충북_평균가동시간
"	2026-04-01",0.5,1.65,0,0.03
"	2026-04-02",0.75,1.26,0,0.03
"	2026-04-03",0,0,0,0.06
"	2026-04-04",0,0,0,0
"	2026-04-05",0,0,0,0
"	2026-04-06",1.17,2.67,0,0
"	2026-04-07",5,1.32,0,0
"	2026-04-08",0,1.25,0,1.89
"	2026-04-09",0.88,1.65,0,0
"	2026-04-10",0,1.62,0,0
"	2026-04-11",0,0,0,0
"	2026-04-12",0,0,0,0.04
"	2026-04-13",0.42,1.65,0,0
"	2026-04-14",0,0.72,0,0
"	2026-04-15",0,1.08,0,0.42
"	2026-04-16",1.79,0.96,0,0.04
"	2026-04-17",0,0,0,0.04
"	2026-04-18",0,0.01,0,0
"	2026-04-19",0,0,0,0
"	2026-04-20",0,0,0,0.08
"	2026-04-21",0,0,0,0.04
"	2026-04-22",3.96,1.21,0,0
"	2026-04-23",0.29,0.96,0.74,0
"	2026-04-24",0.12,0,1.38,0
"	2026-04-25",0,0,1.35,0
"	2026-04-26",0,0,1.23,0
"	2026-04-27",1,0.57,1.61,0
"	2026-04-28",0,1.06,1.23,0
"	2026-04-29",0,0.35,1.35,0
"	2026-04-30",0.75,0,1.2,0.12
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"	",,,,
