일자,광주_평균가동시간,대구_평균가동시간,무안_평균가동시간,부산_평균가동시간,울산_평균가동시간,전북_평균가동시간,제주_평균가동시간,진주_평균가동시간
"	2026-04-01",0,0,0,2.17,0,0.04,0.33,0
"	2026-04-02",0,0,4.96,0,0,0.6,0.92,0
"	2026-04-03",0,0,0,0,0,0.23,0.03,0
"	2026-04-04",0,0,0,0,0,0,0,0
"	2026-04-05",0,0,0,0,0,0,0,0
"	2026-04-06",0.02,0,0,0,0,0.6,0.81,0
"	2026-04-07",0.1,0,0.21,0,0,0.5,1.33,0
"	2026-04-08",0.08,0,0,1.75,0,2.9,1.31,0
"	2026-04-09",0.1,0,0.04,0.25,0,0,2.14,0
"	2026-04-10",0.85,0,0,0,0.03,2.92,1.39,0
"	2026-04-11",0,0,2.12,0,0,0.6,0.03,0
"	2026-04-12",0,0,0,0,0,0,0.03,0
"	2026-04-13",0.65,0,0,0,0,0.85,0.31,0
"	2026-04-14",0,0,0,0,0,0.02,0.36,0
"	2026-04-15",0,0,0,0,0,0,0,0
"	2026-04-16",0.85,0,0,0,0,0.06,0.39,0
"	2026-04-17",0,0,6.08,0.42,0,0.02,0,0
"	2026-04-18",0,0,0,0,0,0,0,0
"	2026-04-19",0,0,0,0,0,0,0,0
"	2026-04-20",0,0,0,0,0,0,0.11,0
"	2026-04-21",0.52,0,0,0,0,0,0,0
"	2026-04-22",0,0,0,2.79,0,0.02,0,0
"	2026-04-23",0.7,0,0,1.12,0,0,0,0
"	2026-04-24",0.98,0,0,0.88,0,0.08,0,0.12
"	2026-04-25",0,0,0,0,0,0,0,0
"	2026-04-26",0,0,0,0,0,0,0,0
"	2026-04-27",0.67,0,0.92,1.38,0,0.02,0.03,0
"	2026-04-28",1.62,0,0,0,0,0.5,0.03,0
"	2026-04-29",0,0,0,0,0,0.02,0,0
"	2026-04-30",0.05,0.04,3.08,0,0,0.04,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"	",,,,,,,,
