일자,공주_평균가동시간,광주_평균가동시간,아산_평균가동시간,안동_평균가동시간,익산_평균가동시간,제주_평균가동시간,진주_평균가동시간
"	2026-04-01",0,3.58,2.15,0.62,0.06,0.43,0
"	2026-04-02",0.02,3.07,3.11,0.21,0.22,0,0.03
"	2026-04-03",0.02,3.11,4.29,0.26,0.17,0.67,0.38
"	2026-04-04",0,0.36,0,0,0,0,0
"	2026-04-05",0,1.11,0,0,0,0,0.03
"	2026-04-06",0.04,1.83,3.73,0.64,0.22,0.4,0.72
"	2026-04-07",0.04,3.54,2.12,0.39,0.11,1.13,0.02
"	2026-04-08",0.08,3.01,1.2,0.35,0,0.47,0.03
"	2026-04-09",1.52,4.22,2.05,0.28,3.44,1.15,0.38
"	2026-04-10",2.46,1.22,0,0.15,2.69,0.25,0
"	2026-04-11",0,0.19,0,0,0,0,0
"	2026-04-12",0,0.64,0,0,0,0,0
"	2026-04-13",0.15,1.33,0.55,0.07,0.17,0,0.05
"	2026-04-14",0.12,1.21,0.01,0.1,0,1.2,0.03
"	2026-04-15",0.21,0.51,0,0.24,2.83,0.02,1.38
"	2026-04-16",0.42,3.97,0,0,6.5,0.02,0.12
"	2026-04-17",0,0.31,0,0,0,0.55,0.22
"	2026-04-18",0,0.29,0,0,0.04,0,0.02
"	2026-04-19",0,0.12,0,0,0,0,0
"	2026-04-20",0.23,0.28,0,0,0.21,0.7,1.7
"	2026-04-21",0.02,0.78,0,0.04,6.38,0.72,0
"	2026-04-22",0,1.65,0,0,3.83,0.42,0.53
"	2026-04-23",0.21,1.79,0,0.01,6.79,0.65,0.35
"	2026-04-24",0,1.29,0.01,0,3.69,0.27,0.55
"	2026-04-25",0,1.11,0.15,0,0.81,0,0.02
"	2026-04-26",0,0.92,0.25,0,0,0,0
"	2026-04-27",0.75,0.29,0,0,2.53,0.07,0.68
"	2026-04-28",0.67,0.11,0,0,3,0.72,0.77
"	2026-04-29",0.35,0.46,0.04,0,2.56,0.45,0.57
"	2026-04-30",0.15,0.24,0,0,4.17,0.85,1.23
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"	",,,,,,,
